" New Houses Sold in the United States, by Sales Price",,,,,,,,,,,
,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,
,,,,,,,,,,,
Period,Total ,Under ,"$100,000 to ","$125,000 to ","$150,000 to "," $200,000 to  "," $250,000 to  ","$300,000 ",,,
,," $100,000 "," $124,999  "," $149,999 "," $199,999 "," $249,999  "," $299,999  ",and over ,,,
Jan 1999,67 ,10 ,10 ,13 ,16 ,7 ,4 ,7 ,,,
Feb 1999,76 ,9 ,12 ,13 ,17 ,10 ,6 ,9 ,,,
Mar 1999,84 ,10 ,14 ,14 ,20 ,10 ,5 ,10 ,,,
Apr 1999,86 ,12 ,12 ,14 ,20 ,10 ,6 ,11 ,,,
May 1999,80 ,10 ,14 ,15 ,17 ,10 ,7 ,8 ,,,
Jun 1999,82 ,9 ,13 ,14 ,19 ,10 ,6 ,11 ,,,
Jul 1999,78 ,10 ,12 ,12 ,19 ,11 ,5 ,9 ,,,
Aug 1999,78 ,9 ,10 ,17 ,17 ,9 ,6 ,9 ,,,
Sep 1999,65 ,7 ,9 ,11 ,16 ,8 ,5 ,9 ,,,
Oct 1999,67 ,8 ,8 ,14 ,17 ,8 ,4 ,9 ,,,
Nov 1999,61 ,5 ,8 ,10 ,15 ,8 ,5 ,9 ,,,
Dec 1999,57 ,6 ,9 ,8 ,15 ,7 ,4 ,8 ,,,
Jan 2000,67 ,8 ,8 ,12 ,16 ,9 ,5 ,10 ,,,
Feb 2000,78 ,8 ,11 ,14 ,20 ,9 ,6 ,10 ,,,
Mar 2000,88 ,8 ,13 ,15 ,18 ,12 ,8 ,14 ,,,
Apr 2000,78 ,9 ,11 ,13 ,18 ,10 ,6 ,11 ,,,
May 2000,77 ,9 ,12 ,13 ,15 ,12 ,7 ,10 ,,,
Jun 2000,71 ,8 ,10 ,14 ,14 ,10 ,6 ,9 ,,,
Jul 2000,76 ,8 ,10 ,12 ,19 ,11 ,7 ,10 ,,,
Aug 2000,73 ,7 ,9 ,14 ,19 ,10 ,5 ,9 ,,,
Sep 2000,70 ,7 ,9 ,12 ,16 ,10 ,6 ,11 ,,,
Oct 2000,71 ,7 ,8 ,12 ,14 ,11 ,6 ,13 ,,,
Nov 2000,63 ,7 ,8 ,8 ,15 ,9 ,6 ,10 ,,,
Dec 2000,65 ,7 ,8 ,12 ,14 ,9 ,4 ,10 ,,,
Jan 2001,72 ,6 ,7 ,12 ,19 ,11 ,7 ,9 ,,,
Feb 2001,85 ,8 ,11 ,14 ,19 ,13 ,7 ,13 ,,,
Mar 2001,94 ,6 ,13 ,16 ,21 ,14 ,9 ,14 ,,,
Apr 2001,84 ,7 ,9 ,13 ,23 ,12 ,8 ,12 ,,,
May 2001,80 ,8 ,8 ,12 ,21 ,12 ,7 ,11 ,,,
Jun 2001,79 ,6 ,10 ,13 ,19 ,12 ,7 ,13 ,,,
Jul 2001,76 ,8 ,9 ,12 ,18 ,10 ,8 ,11 ,,,
Aug 2001,74 ,7 ,8 ,11 ,19 ,11 ,8 ,10 ,,,
Sep 2001,66 ,7 ,6 ,12 ,16 ,10 ,5 ,10 ,,,
Oct 2001,66 ,6 ,8 ,11 ,15 ,10 ,6 ,10 ,,,
Nov 2001,67 ,6 ,10 ,11 ,16 ,8 ,7 ,10 ,,,
Dec 2001,66 ,5 ,9 ,11 ,13 ,9 ,7 ,13 ,,,
Jan 2002,66 ,5 ,6 ,9 ,17 ,10 ,7 ,14 ,,,
Feb 2002,84 ,6 ,10 ,10 ,18 ,13 ,11 ,15 ,,,
Mar 2002,90 ,6 ,10 ,12 ,23 ,13 ,9 ,17 ,,,
Apr 2002,86 ,5 ,8 ,14 ,21 ,12 ,8 ,17 ,,,
May 2002,88 ,6 ,9 ,12 ,24 ,10 ,9 ,18 ,,,
Jun 2002,84 ,5 ,8 ,13 ,19 ,14 ,10 ,16 ,,,
Jul 2002,82 ,7 ,8 ,13 ,22 ,9 ,8 ,14 ,,,
Aug 2002,90 ,6 ,9 ,13 ,24 ,15 ,8 ,16 ,,,
Sep 2002,82 ,7 ,10 ,12 ,19 ,12 ,7 ,15 ,,,
Oct 2002,77 ,5 ,8 ,12 ,18 ,10 ,8 ,16 ,,,
Nov 2002,73 ,5 ,6 ,13 ,18 ,9 ,8 ,14 ,,,
Dec 2002,70 ,5 ,5 ,9 ,17 ,9 ,9 ,16 ,,,
Jan 2003,76 ,3 ,9 ,12 ,19 ,10 ,8 ,16 ,,,
Feb 2003,82 ,5 ,7 ,13 ,18 ,12 ,8 ,18 ,,,
Mar 2003,98 ,4 ,11 ,15 ,25 ,12 ,11 ,21 ,,,
Apr 2003,91 ,6 ,7 ,14 ,23 ,11 ,10 ,20 ,,,
May 2003,101 ,4 ,10 ,13 ,25 ,16 ,10 ,23 ,,,
Jun 2003,107 ,5 ,11 ,16 ,27 ,14 ,9 ,26 ,,,
Jul 2003,99 ,6 ,9 ,13 ,25 ,13 ,10 ,23 ,,,
Aug 2003,105 ,6 ,9 ,14 ,27 ,13 ,11 ,25 ,,,
Sep 2003,90 ,5 ,7 ,12 ,23 ,14 ,8 ,21 ,,,
Oct 2003,88 ,7 ,7 ,12 ,20 ,10 ,12 ,20 ,,,
Nov 2003,76 ,3 ,6 ,10 ,17 ,10 ,7 ,22 ,,,
Dec 2003,75 ,4 ,7 ,8 ,20 ,10 ,7 ,20 ,,,
Jan 2004,89 ,4 ,8 ,11 ,20 ,12 ,10 ,26 ,,,
Feb 2004,102 ,5 ,7 ,13 ,20 ,16 ,12 ,28 ,,,
Mar 2004,123 ,5 ,11 ,16 ,26 ,20 ,13 ,33 ,,,
Apr 2004,109 ,6 ,8 ,12 ,21 ,17 ,13 ,32 ,,,
May 2004,115 ,5 ,9 ,13 ,25 ,18 ,13 ,31 ,,,
Jun 2004,105 ,4 ,8 ,11 ,24 ,16 ,13 ,29 ,,,
Jul 2004,96 ,3 ,7 ,11 ,22 ,13 ,10 ,29 ,,,
Aug 2004,102 ,5 ,7 ,12 ,23 ,15 ,10 ,31 ,,,
Sep 2004,94 ,4 ,7 ,13 ,19 ,15 ,8 ,28 ,,,
Oct 2004,101 ,3 ,7 ,11 ,21 ,14 ,11 ,33 ,,,
Nov 2004,84 ,3 ,6 ,9 ,16 ,14 ,9 ,27 ,,,
Dec 2004,83 ,4 ,4 ,7 ,17 ,15 ,9 ,26 ,,,
Jan 2005,92 ,4 ,5 ,10 ,20 ,13 ,10 ,29 ,,,
Feb 2005,109 ,3 ,8 ,10 ,21 ,18 ,12 ,37 ,,,
Mar 2005,127 ,4 ,7 ,15 ,25 ,20 ,13 ,43 ,,,
Apr 2005,116 ,3 ,5 ,12 ,23 ,20 ,13 ,41 ,,,
May 2005,120 ,4 ,9 ,12 ,25 ,17 ,14 ,40 ,,,
Jun 2005,115 ,3 ,8 ,10 ,25 ,18 ,14 ,37 ,,,
Jul 2005,117 ,3 ,6 ,13 ,25 ,19 ,11 ,40 ,,,
Aug 2005,110 ,2 ,8 ,11 ,21 ,14 ,12 ,41 ,,,
Sep 2005,99 ,3 ,7 ,9 ,21 ,13 ,12 ,35 ,,,
Oct 2005,105 ,2 ,6 ,13 ,15 ,16 ,14 ,37 ,,,
Nov 2005,86 ,2 ,4 ,9 ,17 ,13 ,9 ,31 ,,,
Dec 2005,87 ,2 ,5 ,9 ,15 ,17 ,10 ,29 ,,,
