Median Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1989,"94,600","147,700","73,100","85,600","138,400",,,,,,,,,,,,
1990,"97,300","146,200","76,700","86,300","141,200",,2.9%,-1.0%,4.9%,0.8%,2.0%,,,,,,
1991,"102,700","149,300","81,000","89,800","147,400",,5.5%,2.1%,5.6%,4.1%,4.4%,,,,,,
1992,"105,500","149,000","84,600","92,900","143,300",,2.7%,-0.2%,4.4%,3.5%,-2.8%,,,,,,
1993,"109,100","149,300","87,600","95,800","144,400",,3.4%,0.2%,3.5%,3.1%,0.8%,,,,,,
1994,"113,500","149,300","90,900","97,200","151,900",,4.0%,0.0%,3.8%,1.5%,5.2%,,,,,,
1995,"117,000","146,500","96,500","99,200","153,600",,3.1%,-1.9%,6.2%,2.1%,1.1%,,,,,,
1996,"122,600","147,800","102,800","105,000","160,200",,4.8%,0.9%,6.5%,5.8%,4.3%,,,,,,
1997,"129,000","152,400","108,900","111,300","169,000",,5.2%,3.1%,5.9%,6.0%,5.5%,,,,,,
1998,"136,000","157,100","116,300","118,000","179,500",,5.4%,3.1%,6.8%,6.0%,6.2%,,,,,,
1999,"141,200","160,700","121,600","122,100","189,400",,3.8%,2.3%,4.6%,3.5%,5.5%,,,,,,
2000,"147,300","161,200","125,600","130,300","199,200",,4.3%,0.3%,3.3%,6.7%,5.2%,,,,,,
2001,"156,600","169,400","132,300","139,600","211,700",,6.3%,5.1%,5.3%,7.1%,6.3%,,,,,,
2002,"167,600","190,100","138,300","149,700","234,300",,7.0%,12.2%,4.5%,7.2%,10.7%,,,,,,
2003,"180,200","220,300","143,700","159,700","254,700",,7.5%,15.9%,3.9%,6.7%,8.7%,,,,,,
2004,"195,200","254,400","151,500","171,800","289,100",,8.3%,15.5%,5.4%,7.6%,13.5%,,,,,,
2005,"219,000","281,600","168,300","181,100","340,300",,12.2%,10.7%,11.1%,5.4%,17.7%,,,,,,
2006,"221,900","280,300","164,800","183,700","350,500",,1.3%,-0.5%,-2.1%,1.4%,3.0%,,,,,,
2007,"217,900","288,100","161,400","178,800","342,500",,-1.8%,2.8%,-2.1%,-2.7%,-2.3%,,,,,,
2008,"196,600","271,500","150,500","169,400","276,100",,-9.8%,-5.8%,-6.8%,-5.3%,-19.4%,,,,,,
2009,"172,100","243,200","142,900","155,000","215,400",,-12.5%,-10.4%,-5.0%,-8.5%,-22.0%,,,,,,
2010,"173,100","243,900","140,800","153,700","220,700",,0.6%,0.3%,-1.5%,-0.8%,2.5%,,,,,,
2011,"166,200","237,500","135,800","149,300","204,500",,-4.0%,-2.6%,-3.6%,-2.9%,-7.3%,,,,,,
2012,"177,200","237,200","143,700","158,400","234,300",,6.6%,-0.1%,5.8%,6.1%,14.6%,,,,,,
2013,"197,400","248,900","155,700","174,200","276,400",,11.4%,4.9%,8.4%,10.0%,18.0%,,,,,,
2014,"208,900","252,200","164,200","182,900","294,400",,5.8%,1.3%,5.5%,5.0%,6.5%,,,,,,
2015,"223,900","262,500","175,500","196,400","319,100",,7.2%,4.1%,6.9%,7.4%,8.4%,,,,,,
2016,"235,500","265,400","184,400","209,200","342,900",,5.2%,1.1%,5.1%,6.5%,7.5%,,,,,,
2017,"248,800","275,700","196,200","222,700","369,400",,5.6%,3.9%,6.4%,6.5%,7.7%,,,,,,
2018,"261,600","289,200","201,700","231,600","388,600",,5.1%,4.9%,2.8%,4.0%,5.2%,,,,,,
2019,"274,600","301,900","214,500","241,900","405,200",,5.0%,4.4%,6.3%,4.4%,4.3%,,,,,,
2020,"300,200","341,700","235,400","265,100","451,500",,9.3%,13.2%,9.7%,9.6%,11.4%,,,,,,
,,,,,,,,,,,,,,,,,
1989.01,"90,300","131,300","68,200","81,900","138,100",,,,,,,,,,,,
1989.02,"92,300","130,800","70,100","87,800","132,800",,,,,,,,,,,,
1989.03,"92,900","144,000","69,600","85,500","136,500",,,,,,,,,,,,
1989.04,"93,500","147,100","71,400","85,400","138,900",,,,,,,,,,,,
1989.05,"93,900","144,400","72,500","85,500","140,800",,,,,,,,,,,,
1989.06,"94,800","152,400","75,000","85,800","128,700",,,,,,,,,,,,
1989.07,"95,900","145,100","74,800","86,900","140,200",,,,,,,,,,,,
1989.08,"96,600","155,000","74,100","86,900","136,700",,,,,,,,,,,,
1989.09,"95,600","148,900","74,200","87,000","141,300",,,,,,,,,,,,
1989.10,"94,400","145,200","73,100","85,700","137,100",,,,,,,,,,,,
1989.11,"96,300","156,700","72,900","84,800","140,500",,,,,,,,,,,,
1989.12,"95,200","153,100","75,100","84,700","134,200",,,,,,,,,,,,
1990.01,"95,400","132,100","74,400","85,400","146,700",,5.6%,0.6%,9.1%,4.3%,6.2%,,,,,,
1990.02,"95,500","136,400","74,800","87,300","139,800",,3.5%,4.3%,6.7%,-0.6%,5.3%,,,,,,
1990.03,"97,700","148,900","74,300","88,100","141,700",,5.2%,3.4%,6.8%,3.0%,3.8%,,,,,,
1990.04,"97,200","146,700","77,400","86,000","141,700",,4.0%,-0.3%,8.4%,0.7%,2.0%,,,,,,
1990.05,"97,000","143,500","76,500","86,100","144,600",,3.3%,-0.6%,5.5%,0.7%,2.7%,,,,,,
1990.06,"101,200","148,700","79,500","90,300","141,100",,6.8%,-2.4%,6.0%,5.2%,9.6%,,,,,,
1990.07,"100,300","147,900","78,800","88,500","143,800",,4.6%,1.9%,5.3%,1.8%,2.6%,,,,,,
1990.08,"96,900","161,500","77,100","83,100","128,500",,0.3%,4.2%,4.0%,-4.4%,-6.0%,,,,,,
1990.09,"97,300","141,800","77,200","88,200","142,100",,1.8%,-4.8%,4.0%,1.4%,0.6%,,,,,,
1990.10,"95,000","142,300","74,600","85,000","137,500",,0.6%,-2.0%,2.1%,-0.8%,0.3%,,,,,,
1990.11,"94,300","144,300","74,200","84,400","132,100",,-2.1%,-7.9%,1.8%,-0.5%,-6.0%,,,,,,
1990.12,"94,200","142,500","75,300","83,300","136,800",,-1.1%,-6.9%,0.3%,-1.7%,1.9%,,,,,,
1991.01,"97,400","133,800","77,200","84,900","145,700",,2.1%,1.3%,3.8%,-0.6%,-0.7%,,,,,,
1991.02,"96,600","134,100","77,600","86,100","139,400",,1.2%,-1.7%,3.7%,-1.4%,-0.3%,,,,,,
1991.03,"100,600","145,200","79,200","90,000","144,000",,3.0%,-2.5%,6.6%,2.2%,1.6%,,,,,,
1991.04,"102,200","151,500","80,700","88,800","151,900",,5.1%,3.3%,4.3%,3.3%,7.2%,,,,,,
1991.05,"103,400","150,400","81,100","90,600","151,100",,6.6%,4.8%,6.0%,5.2%,4.5%,,,,,,
1991.06,"104,400","152,100","82,700","91,400","144,800",,3.2%,2.3%,4.0%,1.2%,2.6%,,,,,,
1991.07,"106,300","152,900","82,600","93,300","152,400",,6.0%,3.4%,4.8%,5.4%,6.0%,,,,,,
1991.08,"103,900","156,200","82,200","89,000","142,300",,7.2%,-3.3%,6.6%,7.1%,10.7%,,,,,,
1991.09,"102,900","147,200","79,700","92,300","148,200",,5.8%,3.8%,3.2%,4.6%,4.3%,,,,,,
1991.10,"102,300","145,600","79,800","90,100","146,400",,7.7%,2.3%,7.0%,6.0%,6.5%,,,,,,
1991.11,"101,200","151,500","80,600","88,500","136,700",,7.3%,5.0%,8.6%,4.9%,3.5%,,,,,,
1991.12,"103,100","148,900","81,800","90,600","144,300",,9.4%,4.5%,8.6%,8.8%,5.5%,,,,,,
1992.01,"102,900","139,800","81,500","89,000","148,900",,5.6%,4.5%,5.6%,4.8%,2.2%,,,,,,
1992.02,"103,700","136,800","82,700","92,600","145,400",,7.3%,2.0%,6.6%,7.5%,4.3%,,,,,,
1992.03,"105,100","148,400","82,100","94,000","144,000",,4.5%,2.2%,3.7%,4.4%,0.0%,,,,,,
1992.04,"104,400","151,300","83,400","91,700","142,900",,2.2%,-0.1%,3.3%,3.3%,-5.9%,,,,,,
1992.05,"105,100","147,700","85,200","93,300","144,800",,1.6%,-1.8%,5.1%,3.0%,-4.2%,,,,,,
1992.06,"107,000","149,800","86,100","94,000","143,900",,2.5%,-1.5%,4.1%,2.8%,-0.6%,,,,,,
1992.07,"104,900","153,200","84,300","91,200","142,300",,-1.3%,0.2%,2.1%,-2.3%,-6.6%,,,,,,
1992.08,"105,400","153,500","84,800","94,300","132,300",,1.4%,-1.7%,3.2%,6.0%,-7.0%,,,,,,
1992.09,"105,600","147,100","85,400","94,400","143,800",,2.6%,-0.1%,7.2%,2.3%,-3.0%,,,,,,
1992.10,"105,900","144,900","84,400","94,100","143,600",,3.5%,-0.5%,5.8%,4.4%,-1.9%,,,,,,
1992.11,"105,000","149,800","84,600","93,100","133,800",,3.8%,-1.1%,5.0%,5.2%,-2.1%,,,,,,
1992.12,"105,600","149,600","84,700","93,100","140,400",,2.4%,0.5%,3.5%,2.8%,-2.7%,,,,,,
1993.01,"102,900","133,800","82,700","89,500","141,200",,0.0%,-4.3%,1.5%,0.6%,-5.2%,,,,,,
1993.02,"102,600","132,800","82,900","91,400","138,600",,-1.1%,-2.9%,0.2%,-1.3%,-4.7%,,,,,,
1993.03,"105,100","142,200","84,800","92,900","141,700",,0.0%,-4.2%,3.3%,-1.2%,-1.6%,,,,,,
1993.04,"106,200","151,300","86,800","92,200","142,500",,1.7%,0.0%,4.1%,0.5%,-0.3%,,,,,,
1993.05,"107,900","143,400","88,600","96,000","142,600",,2.7%,-2.9%,4.0%,2.9%,-1.5%,,,,,,
1993.06,"111,900","154,900","90,100","99,000","142,300",,4.6%,3.4%,4.6%,5.3%,-1.1%,,,,,,
1993.07,"110,800","154,700","87,800","97,300","145,300",,5.6%,1.0%,4.2%,6.7%,2.1%,,,,,,
1993.08,"110,500","154,700","87,800","97,300","139,800",,4.8%,0.8%,3.5%,3.2%,5.7%,,,,,,
1993.09,"110,500","148,100","87,100","98,200","148,500",,4.6%,0.7%,2.0%,4.0%,3.3%,,,,,,
1993.10,"109,800","147,500","87,600","97,200","145,200",,3.7%,1.8%,3.8%,3.3%,1.1%,,,,,,
1993.11,"110,000","150,700","88,200","96,800","140,400",,4.8%,0.6%,4.3%,4.0%,4.9%,,,,,,
1993.12,"110,800","154,400","89,000","95,900","144,300",,4.9%,3.2%,5.1%,3.0%,2.8%,,,,,,
1994.01,"109,900","138,700","88,200","95,200","148,700",,6.8%,3.7%,6.7%,6.4%,5.3%,,,,,,
1994.02,"108,600","135,200","86,500","96,500","146,500",,5.8%,1.8%,4.3%,5.6%,5.7%,,,,,,
1994.03,"109,800","145,000","86,500","96,300","147,900",,4.5%,2.0%,2.0%,3.7%,4.4%,,,,,,
1994.04,"111,200","150,100","89,700","95,300","150,100",,4.7%,-0.8%,3.3%,3.4%,5.3%,,,,,,
1994.05,"113,200","146,400","91,400","97,800","153,200",,4.9%,2.1%,3.2%,1.9%,7.4%,,,,,,
1994.06,"116,600","153,200","94,500","101,200","151,500",,4.2%,-1.1%,4.9%,2.2%,6.5%,,,,,,
1994.07,"115,700","154,500","93,200","97,100","154,200",,4.4%,-0.1%,6.2%,-0.2%,6.1%,,,,,,
1994.08,"115,800","157,500","92,900","98,000","148,600",,4.8%,1.8%,5.8%,0.7%,6.3%,,,,,,
1994.09,"113,300","147,200","90,500","98,000","155,200",,2.5%,-0.6%,3.9%,-0.2%,4.5%,,,,,,
1994.10,"112,500","143,500","89,500","97,100","150,600",,2.5%,-2.7%,2.2%,-0.1%,3.7%,,,,,,
1994.11,"112,500","147,200","89,600","96,500","147,800",,2.3%,-2.3%,1.6%,-0.3%,5.3%,,,,,,
1994.12,"113,600","151,200","92,700","95,300","150,500",,2.5%,-2.1%,4.2%,-0.6%,4.3%,,,,,,
1995.01,"110,600","135,100","89,600","93,800","150,000",,0.6%,-2.6%,1.6%,-1.5%,0.9%,,,,,,
1995.02,"109,600","134,000","88,300","94,800","147,500",,0.9%,-0.9%,2.1%,-1.8%,0.7%,,,,,,
1995.03,"110,900","139,300","89,100","95,400","148,900",,1.0%,-3.9%,3.0%,-0.9%,0.7%,,,,,,
1995.04,"111,100","143,500","91,200","94,200","149,200",,-0.1%,-4.4%,1.7%,-1.2%,-0.6%,,,,,,
1995.05,"113,500","140,400","95,300","96,400","151,100",,0.3%,-4.1%,4.3%,-1.4%,-1.4%,,,,,,
1995.06,"119,600","151,500","98,500","102,500","153,200",,2.6%,-1.1%,4.2%,1.3%,1.1%,,,,,,
1995.07,"120,100","153,300","99,400","102,300","154,800",,3.8%,-0.8%,6.7%,5.4%,0.4%,,,,,,
1995.08,"120,700","154,700","100,200","102,100","153,400",,4.2%,-1.8%,7.9%,4.2%,3.2%,,,,,,
1995.09,"119,400","146,500","99,600","101,700","157,800",,5.4%,-0.5%,10.1%,3.8%,1.7%,,,,,,
1995.10,"117,700","144,400","97,400","101,000","152,700",,4.6%,0.6%,8.8%,4.0%,1.4%,,,,,,
1995.11,"118,400","145,700","98,300","100,800","150,900",,5.2%,-1.0%,9.7%,4.5%,2.1%,,,,,,
1995.12,"118,400","148,900","98,900","99,900","152,900",,4.2%,-1.5%,6.7%,4.8%,1.6%,,,,,,
1996.01,"118,500","134,600","98,800","100,700","158,600",,7.1%,-0.4%,10.3%,7.4%,5.7%,,,,,,
1996.02,"116,700","132,100","97,000","101,300","151,900",,6.5%,-1.4%,9.9%,6.9%,3.0%,,,,,,
1996.03,"119,100","141,800","98,300","103,100","156,000",,7.4%,1.8%,10.3%,8.1%,4.8%,,,,,,
1996.04,"120,000","148,000","101,100","101,900","156,700",,8.0%,3.1%,10.9%,8.2%,5.0%,,,,,,
1996.05,"121,900","144,500","103,000","104,200","160,300",,7.4%,2.9%,8.1%,8.1%,6.1%,,,,,,
1996.06,"126,300","154,700","107,000","108,800","162,200",,5.6%,2.1%,8.6%,6.1%,5.9%,,,,,,
1996.07,"125,100","153,600","105,100","107,100","163,300",,4.2%,0.2%,5.7%,4.7%,5.5%,,,,,,
1996.08,"124,400","153,500","104,900","106,200","158,200",,3.1%,-0.8%,4.7%,4.0%,3.1%,,,,,,
1996.09,"122,900","144,700","103,300","106,700","164,100",,2.9%,-1.2%,3.7%,4.9%,4.0%,,,,,,
1996.10,"121,400","144,300","100,200","105,700","156,500",,3.1%,-0.1%,2.9%,4.7%,2.5%,,,,,,
1996.11,"122,300","146,700","101,800","105,100","154,800",,3.3%,0.7%,3.6%,4.3%,2.6%,,,,,,
1996.12,"124,000","152,900","105,200","105,500","159,300",,4.7%,2.7%,6.4%,5.6%,4.2%,,,,,,
1997.01,"123,400","139,200","103,000","104,500","164,600",,4.1%,3.4%,4.3%,3.8%,3.8%,,,,,,
1997.02,"121,200","135,000","101,900","105,500","157,400",,3.9%,2.2%,5.1%,4.1%,3.6%,,,,,,
1997.03,"123,700","142,700","103,400","108,100","160,400",,3.9%,0.6%,5.2%,4.8%,2.8%,,,,,,
1997.04,"124,700","152,700","105,800","106,200","164,500",,3.9%,3.2%,4.6%,4.2%,5.0%,,,,,,
1997.05,"128,000","150,100","108,600","111,200","168,600",,5.0%,3.9%,5.4%,6.7%,5.2%,,,,,,
1997.06,"131,400","154,900","112,400","114,300","169,300",,4.0%,0.1%,5.0%,5.1%,4.4%,,,,,,
1997.07,"131,000","157,300","110,500","113,200","171,300",,4.7%,2.4%,5.1%,5.7%,4.9%,,,,,,
1997.08,"131,600","159,300","112,600","113,300","167,100",,5.8%,3.8%,7.3%,6.7%,5.6%,,,,,,
1997.09,"131,300","154,800","110,200","114,800","173,500",,6.8%,7.0%,6.7%,7.6%,5.7%,,,,,,
1997.10,"129,300","148,800","107,900","113,000","170,400",,6.5%,3.1%,7.7%,6.9%,8.9%,,,,,,
1997.11,"129,500","154,500","108,800","111,500","166,400",,5.9%,5.3%,6.9%,6.1%,7.5%,,,,,,
1997.12,"131,400","157,600","110,500","113,400","171,400",,6.0%,3.1%,5.0%,7.5%,7.6%,,,,,,
1998.01,"130,400","143,200","110,400","111,700","172,000",,5.7%,2.9%,7.2%,6.9%,4.5%,,,,,,
1998.02,"128,600","140,000","107,600","114,500","170,000",,6.1%,3.7%,5.6%,8.5%,8.0%,,,,,,
1998.03,"131,100","147,000","111,000","115,600","171,900",,6.0%,3.0%,7.4%,6.9%,7.2%,,,,,,
1998.04,"132,300","155,900","113,100","113,500","178,000",,6.1%,2.1%,6.9%,6.9%,8.2%,,,,,,
1998.05,"136,500","160,800","116,900","118,000","181,100",,6.6%,7.1%,7.6%,6.1%,7.4%,,,,,,
1998.06,"138,600","161,900","120,800","122,400","176,900",,5.5%,4.5%,7.5%,7.1%,4.5%,,,,,,
1998.07,"139,100","166,600","119,000","119,600","184,200",,6.2%,5.9%,7.7%,5.7%,7.5%,,,,,,
1998.08,"137,000","164,900","118,800","120,000","173,500",,4.1%,3.5%,5.5%,5.9%,3.8%,,,,,,
1998.09,"137,200","158,000","117,800","119,400","185,100",,4.5%,2.1%,6.9%,4.0%,6.7%,,,,,,
1998.10,"135,600","150,700","115,300","119,900","178,600",,4.9%,1.3%,6.9%,6.1%,4.8%,,,,,,
1998.11,"136,900","156,200","117,100","118,900","179,700",,5.7%,1.1%,7.6%,6.6%,8.0%,,,,,,
1998.12,"136,300","159,300","117,100","117,000","178,800",,3.7%,1.1%,6.0%,3.2%,4.3%,,,,,,
1999.01,"136,700","148,900","116,000","116,600","187,600",,4.8%,4.0%,5.1%,4.4%,9.1%,,,,,,
1999.02,"134,600","149,100","113,000","116,900","181,700",,4.7%,6.5%,5.0%,2.1%,6.9%,,,,,,
1999.03,"136,300","151,700","115,100","119,200","186,300",,4.0%,3.2%,3.7%,3.1%,8.4%,,,,,,
1999.04,"137,500","156,400","118,000","118,800","185,100",,3.9%,0.3%,4.3%,4.7%,4.0%,,,,,,
1999.05,"140,600","161,800","121,000","122,100","189,600",,3.0%,0.6%,3.5%,3.5%,4.7%,,,,,,
1999.06,"144,600","163,400","126,400","128,900","187,900",,4.3%,0.9%,4.6%,5.3%,6.2%,,,,,,
1999.07,"143,400","166,400","125,300","124,600","187,300",,3.1%,-0.1%,5.3%,4.2%,1.7%,,,,,,
1999.08,"143,800","166,500","125,700","124,200","193,300",,5.0%,1.0%,5.8%,3.5%,11.4%,,,,,,
1999.09,"142,600","158,900","123,100","124,300","198,400",,3.9%,0.6%,4.5%,4.1%,7.2%,,,,,,
1999.10,"140,200","153,400","121,200","123,700","187,300",,3.4%,1.8%,5.1%,3.2%,4.9%,,,,,,
1999.11,"140,900","159,500","120,500","122,800","185,500",,2.9%,2.1%,2.9%,3.3%,3.2%,,,,,,
1999.12,"141,800","167,100","121,600","121,900","186,100",,4.0%,4.9%,3.8%,4.2%,4.1%,,,,,,
2000.01,"139,600","142,900","122,100","119,000","188,000",,2.1%,-4.0%,5.3%,2.1%,0.2%,,,,,,
2000.02,"140,500","151,900","116,700","127,400","186,800",,4.4%,1.9%,3.3%,9.0%,2.8%,,,,,,
2000.03,"141,600","149,600","118,300","125,900","196,500",,3.9%,-1.4%,2.8%,5.6%,5.5%,,,,,,
2000.04,"143,100","166,300","121,300","125,500","197,500",,4.1%,6.3%,2.8%,5.6%,6.7%,,,,,,
2000.05,"145,700","165,000","122,700","128,400","201,000",,3.6%,2.0%,1.4%,5.2%,6.0%,,,,,,
2000.06,"148,100","168,800","130,100","130,300","198,200",,2.4%,3.3%,2.9%,1.1%,5.5%,,,,,,
2000.07,"151,100","168,600","130,900","132,900","199,100",,5.4%,1.3%,4.5%,6.7%,6.3%,,,,,,
2000.08,"149,800","163,500","131,100","131,400","199,500",,4.2%,-1.8%,4.3%,5.8%,3.2%,,,,,,
2000.09,"150,300","155,600","129,900","134,400","204,700",,5.4%,-2.1%,5.5%,8.1%,3.2%,,,,,,
2000.10,"146,600","158,600","121,100","131,100","200,800",,4.6%,3.4%,-0.1%,6.0%,7.2%,,,,,,
2000.11,"147,500","168,400","118,700","132,000","200,000",,4.7%,5.6%,-1.5%,7.5%,7.8%,,,,,,
2000.12,"148,200","166,900","123,500","132,900","198,900",,4.5%,-0.1%,1.6%,9.0%,6.9%,,,,,,
2001.01,"143,900","154,500","123,300","128,900","192,300",,3.1%,8.1%,1.0%,8.3%,2.3%,,,,,,
2001.02,"145,700","151,900","123,100","132,100","197,100",,3.7%,0.0%,5.5%,3.7%,5.5%,,,,,,
2001.03,"150,800","160,700","125,000","137,100","208,100",,6.5%,7.4%,5.7%,8.9%,5.9%,,,,,,
2001.04,"150,400","164,500","123,800","136,800","205,200",,5.1%,-1.1%,2.1%,9.0%,3.9%,,,,,,
2001.05,"153,600","166,600","128,500","139,400","212,500",,5.4%,1.0%,4.7%,8.6%,5.7%,,,,,,
2001.06,"160,800","176,100","133,200","147,800","213,100",,8.6%,4.3%,2.4%,13.4%,7.5%,,,,,,
2001.07,"160,000","179,600","139,800","140,300","207,700",,5.9%,6.5%,6.8%,5.6%,4.3%,,,,,,
2001.08,"160,700","180,800","136,100","143,800","212,700",,7.3%,10.6%,3.8%,9.4%,6.6%,,,,,,
2001.09,"156,500","164,000","132,200","140,300","221,700",,4.1%,5.4%,1.8%,4.4%,8.3%,,,,,,
2001.10,"153,800","166,200","126,200","139,400","213,800",,4.9%,4.8%,4.2%,6.3%,6.5%,,,,,,
2001.11,"155,500","177,500","125,200","141,800","204,000",,5.4%,5.4%,5.5%,7.4%,2.0%,,,,,,
2001.12,"162,400","186,400","133,700","147,000","208,200",,9.6%,11.7%,8.3%,10.6%,4.7%,,,,,,
2002.01,"158,000","170,400","129,700","140,000","223,600",,9.8%,10.3%,5.2%,8.6%,16.3%,,,,,,
2002.02,"157,600","173,800","128,800","141,400","228,600",,8.2%,14.4%,4.6%,7.0%,16.0%,,,,,,
2002.03,"160,100","178,100","127,400","148,500","230,200",,6.2%,10.8%,1.9%,8.3%,10.6%,,,,,,
2002.04,"160,800","182,600","131,200","143,200","227,400",,6.9%,11.0%,6.0%,4.7%,10.8%,,,,,,
2002.05,"164,200","178,300","135,100","150,100","234,000",,6.9%,7.0%,5.1%,7.7%,10.1%,,,,,,
2002.06,"173,200","196,900","141,100","158,300","235,700",,7.7%,11.8%,5.9%,7.1%,10.6%,,,,,,
2002.07,"171,700","199,000","142,900","151,400","238,800",,7.3%,10.8%,2.2%,7.9%,15.0%,,,,,,
2002.08,"169,100","199,600","140,700","151,100","228,200",,5.2%,10.4%,3.4%,5.1%,7.3%,,,,,,
2002.09,"167,600","186,300","141,700","151,900","233,400",,7.1%,13.6%,7.2%,8.3%,5.3%,,,,,,
2002.10,"168,600","189,600","139,100","152,400","233,000",,9.6%,14.1%,10.2%,9.3%,9.0%,,,,,,
2002.11,"170,600","201,500","140,300","152,100","228,700",,9.7%,13.5%,12.1%,7.3%,12.1%,,,,,,
2002.12,"172,800","208,200","140,800","153,600","238,000",,6.4%,11.7%,5.3%,4.5%,14.3%,,,,,,
2003.01,"167,800","195,100","133,600","149,400","237,000",,6.2%,14.5%,3.0%,6.7%,6.0%,,,,,,
2003.02,"167,100","189,100","134,500","153,400","233,600",,6.0%,8.8%,4.4%,8.5%,2.2%,,,,,,
2003.03,"170,300","198,000","137,200","155,500","236,400",,6.4%,11.2%,7.7%,4.7%,2.7%,,,,,,
2003.04,"172,500","209,600","137,900","153,500","249,500",,7.3%,14.8%,5.1%,7.2%,9.7%,,,,,,
2003.05,"176,300","204,900","142,500","156,300","251,600",,7.4%,14.9%,5.5%,4.1%,7.5%,,,,,,
2003.06,"185,000","220,100","150,100","166,100","259,000",,6.8%,11.8%,6.4%,4.9%,9.9%,,,,,,
2003.07,"185,800","232,600","149,900","165,600","255,800",,8.2%,16.9%,4.9%,9.4%,7.1%,,,,,,
