Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
2010.01,93.3,75.7,84.0,100.7,105.3,,1.1%,-0.7%,-1.8%,7.6%,-4.1%,,12.1%,20.5%,11.4%,16.4%,3.1%,,,,,,
2010.02,97.5,79.5,92.9,103.7,106.4,,4.5%,5.0%,10.6%,3.0%,1.0%,,17.6%,19.0%,15.8%,17.0%,19.0%,,,,,,
2010.03,100.8,77.2,94.9,113.4,105.5,,3.4%,-2.9%,2.2%,9.4%,-0.8%,,21.2%,28.5%,18.0%,26.4%,12.6%,,,,,,
2010.04,112.1,93.8,104.1,126.0,112.9,,11.2%,21.5%,9.7%,11.1%,7.0%,,23.9%,23.7%,18.0%,33.6%,15.0%,,,,,,
2010.05,78.1,65.4,70.2,83.7,87.4,,-30.3%,-30.3%,-32.6%,-33.6%,-22.6%,,-15.7%,-17.1%,-19.7%,-13.3%,-14.7%,,,,,,
2010.06,76.4,59.1,64.8,83.5,91.0,,-2.2%,-9.6%,-7.7%,-0.2%,4.1%,,-19.1%,-25.0%,-27.8%,-15.2%,-13.3%,,,,,,
2010.07,80.6,64.8,70.4,88.5,91.3,,5.5%,9.6%,8.6%,6.0%,0.3%,,-18.9%,-19.1%,-24.2%,-15.1%,-19.7%,,,,,,
2010.08,81.2,62.7,70.8,90.3,92.4,,0.7%,-3.2%,0.6%,2.0%,1.2%,,-19.9%,-27.4%,-25.6%,-12.7%,-20.6%,,,,,,
2010.09,81.3,63.1,70.1,90.2,93.4,,0.1%,0.6%,-1.0%,-0.1%,1.1%,,-23.3%,-26.4%,-28.8%,-16.8%,-25.9%,,,,,,
2010.10,85.7,68.7,77.3,93.2,96.2,,5.4%,8.9%,10.3%,3.3%,3.0%,,-21.9%,-28.0%,-27.1%,-19.7%,-16.2%,,,,,,
2010.11,88.3,69.2,77.9,94.0,105.3,,3.0%,0.7%,0.8%,0.9%,9.5%,,-7.2%,-7.5%,-10.4%,-7.2%,-4.5%,,,,,,
2010.12,88.8,72.1,79.8,97.0,98.4,,0.6%,4.2%,2.4%,3.2%,-6.6%,,-3.8%,-5.4%,-6.7%,3.6%,-10.4%,,,,,,
2011.01,89.0,70.0,79.8,96.9,101.2,,0.2%,-2.9%,0.0%,-0.1%,2.8%,,-4.6%,-7.5%,-5.0%,-3.8%,-3.9%,,,,,,
2011.02,87.7,64.9,77.6,97.0,101.4,,-1.5%,-7.3%,-2.8%,0.1%,0.2%,,-10.1%,-18.4%,-16.5%,-6.5%,-4.7%,,,,,,
2011.03,87.8,64.4,79.0,99.1,97.5,,0.1%,-0.8%,1.8%,2.2%,-3.8%,,-12.9%,-16.6%,-16.8%,-12.6%,-7.6%,,,,,,
2011.04,84.9,64.4,76.4,93.9,95.7,,-3.3%,0.0%,-3.3%,-5.2%,-1.8%,,-24.3%,-31.3%,-26.6%,-25.5%,-15.2%,,,,,,
2011.05,87.7,67.1,80.1,95.5,99.3,,3.3%,4.2%,4.8%,1.7%,3.8%,,12.3%,2.6%,14.1%,14.1%,13.6%,,,,,,
2011.06,89.8,68.4,80.2,98.8,102.4,,2.4%,1.9%,0.1%,3.5%,3.1%,,17.5%,15.7%,23.8%,18.3%,12.5%,,,,,,
2011.07,90.1,69.8,81.6,97.6,103.3,,0.3%,2.0%,1.7%,-1.2%,0.9%,,11.8%,7.7%,15.9%,10.3%,13.1%,,,,,,
2011.08,90.1,67.2,80.8,99.0,103.7,,0.0%,-3.7%,-1.0%,1.4%,0.4%,,11.0%,7.2%,14.1%,9.6%,12.2%,,,,,,
2011.09,88.6,64.9,80.6,96.6,103.1,,-1.7%,-3.4%,-0.2%,-2.4%,-0.6%,,9.0%,2.9%,15.0%,7.1%,10.4%,,,,,,
2011.10,91.5,70.2,84.9,100.0,101.7,,3.3%,8.2%,5.3%,3.5%,-1.4%,,6.8%,2.2%,9.8%,7.3%,5.7%,,,,,,
2011.11,94.1,71.8,87.1,102.4,106.0,,2.8%,2.3%,2.6%,2.4%,4.2%,,6.6%,3.8%,11.8%,8.9%,0.7%,,,,,,
2011.12,95.5,74.5,90.1,103.5,105.2,,1.5%,3.8%,3.4%,1.1%,-0.8%,,7.5%,3.3%,12.9%,6.7%,6.9%,,,,,,
2012.01,97.0,76.4,90.8,107.0,104.0,,1.6%,2.6%,0.8%,3.4%,-1.1%,,9.0%,9.1%,13.8%,10.4%,2.8%,,,,,,
2012.02,97.4,78.7,92.9,106.9,101.8,,0.4%,3.0%,2.3%,-0.1%,-2.1%,,11.1%,21.3%,19.7%,10.2%,0.4%,,,,,,
2012.03,98.6,78.6,93.4,107.5,105.6,,1.2%,-0.1%,0.5%,0.6%,3.7%,,12.3%,22.0%,18.2%,8.5%,8.3%,,,,,,
2012.04,98.3,78.0,94.4,107.1,104.4,,-0.3%,-0.8%,1.1%,-0.4%,-1.1%,,15.8%,21.1%,23.6%,14.1%,9.1%,,,,,,
2012.05,97.8,79.1,91.7,107.8,102.9,,-0.5%,1.4%,-2.9%,0.7%,-1.4%,,11.5%,17.9%,14.5%,12.9%,3.6%,,,,,,
2012.06,98.2,77.1,93.3,108.3,103.8,,0.4%,-2.5%,1.7%,0.5%,0.9%,,9.4%,12.7%,16.3%,9.6%,1.4%,,,,,,
2012.07,100.3,79.0,96.7,111.8,102.8,,2.1%,2.5%,3.6%,3.2%,-1.0%,,11.3%,13.2%,18.5%,14.5%,-0.5%,,,,,,
2012.08,100.2,80.8,96.7,112.6,99.6,,-0.1%,2.3%,0.0%,0.7%,-3.1%,,11.2%,20.2%,19.7%,13.7%,-4.0%,,,,,,
2012.09,102.0,82.3,97.9,114.0,103.0,,1.8%,1.9%,1.2%,1.2%,3.4%,,15.1%,26.8%,21.5%,18.0%,-0.1%,,,,,,
2012.10,103.2,79.3,100.8,116.5,103.6,,1.2%,-3.6%,3.0%,2.2%,0.6%,,12.8%,13.0%,18.7%,16.5%,1.9%,,,,,,
2012.11,102.9,81.3,100.8,115.7,101.7,,-0.3%,2.5%,0.0%,-0.7%,-1.8%,,9.4%,13.2%,15.7%,13.0%,-4.1%,,,,,,
2012.12,103.5,82.1,103.2,115.7,101.5,,0.6%,1.0%,2.4%,0.0%,-0.2%,,8.4%,10.2%,14.5%,11.8%,-3.5%,,,,,,
2013.01,105.3,84.4,105.2,118.2,101.6,,1.7%,2.8%,1.9%,2.2%,0.1%,,8.6%,10.5%,15.9%,10.5%,-2.3%,,,,,,
2013.02,106.2,85.4,105.4,119.4,102.3,,0.9%,1.2%,0.2%,1.0%,0.7%,,9.0%,8.5%,13.5%,11.7%,0.5%,,,,,,
2013.03,106.1,85.2,107.4,119.0,100.6,,-0.1%,-0.2%,1.9%,-0.3%,-1.7%,,7.6%,8.4%,15.0%,10.7%,-4.7%,,,,,,
2013.04,107.9,92.9,106.2,119.6,103.0,,1.7%,9.0%,-1.1%,0.5%,2.4%,,9.8%,19.1%,12.5%,11.7%,-1.3%,,,,,,
2013.05,107.5,84.7,110.8,119.4,103.2,,-0.4%,-8.8%,4.3%,-0.2%,0.2%,,9.9%,7.1%,20.8%,10.8%,0.3%,,,,,,
2013.06,109.0,85.9,110.3,118.7,110.2,,1.4%,1.4%,-0.5%,-0.6%,6.8%,,11.0%,11.4%,18.2%,9.6%,6.2%,,,,,,
2013.07,105.4,80.0,109.1,118.4,100.6,,-3.3%,-6.9%,-1.1%,-0.3%,-8.7%,,5.1%,1.3%,12.8%,5.9%,-2.1%,,,,,,
2013.08,104.9,83.7,108.9,116.3,99.2,,-0.5%,4.6%,-0.2%,-1.8%,-1.4%,,4.7%,3.6%,12.6%,3.3%,-0.4%,,,,,,
2013.09,102.7,84.1,105.2,115.8,93.9,,-2.1%,0.5%,-3.4%,-0.4%,-5.3%,,0.7%,2.2%,7.5%,1.6%,-8.8%,,,,,,
2013.10,101.4,83.8,104.4,114.2,91.7,,-1.3%,-0.4%,-0.8%,-1.4%,-2.3%,,-1.7%,5.7%,3.6%,-2.0%,-11.5%,,,,,,
2013.11,100.8,82.6,102.3,114.5,91.8,,-0.6%,-1.4%,-2.0%,0.3%,0.1%,,-2.0%,1.6%,1.5%,-1.0%,-9.7%,,,,,,
2013.12,97.3,78.8,98.7,110.3,89.6,,-3.5%,-4.6%,-3.5%,-3.7%,-2.4%,,-6.0%,-4.0%,-4.4%,-4.7%,-11.7%,,,,,,
2014.01,96.9,80.7,96.8,111.6,86.5,,-0.4%,2.4%,-1.9%,1.2%,-3.5%,,-8.0%,-4.4%,-8.0%,-5.6%,-14.9%,,,,,,
2014.02,96.4,80.9,96.6,109.7,87.5,,-0.5%,0.2%,-0.2%,-1.7%,1.2%,,-9.2%,-5.3%,-8.3%,-8.1%,-14.5%,,,,,,
2014.03,97.6,81.0,95.8,111.8,90.3,,1.2%,0.1%,-0.8%,1.9%,3.2%,,-8.0%,-4.9%,-10.8%,-6.1%,-10.2%,,,,,,
2014.04,98.0,81.5,98.2,111.3,89.6,,0.4%,0.6%,2.5%,-0.4%,-0.8%,,-9.2%,-12.3%,-7.5%,-6.9%,-13.0%,,,,,,
2014.05,100.8,84.5,102.1,113.7,91.9,,2.9%,3.7%,4.0%,2.2%,2.6%,,-6.2%,-0.2%,-7.9%,-4.8%,-10.9%,,,,,,
2014.06,101.3,83.4,101.6,114.5,94.0,,0.5%,-1.3%,-0.5%,0.7%,2.3%,,-7.1%,-2.9%,-7.9%,-3.5%,-14.7%,,,,,,
2014.07,102.1,85.1,101.3,115.8,94.8,,0.8%,2.0%,-0.3%,1.1%,0.9%,,-3.1%,6.4%,-7.1%,-2.2%,-5.8%,,,,,,
2014.08,102.8,84.7,101.3,117.2,96.0,,0.7%,-0.5%,0.0%,1.2%,1.3%,,-2.0%,1.2%,-7.0%,0.8%,-3.2%,,,,,,
2014.09,103.9,86.4,101.4,118.8,96.7,,1.1%,2.0%,0.1%,1.4%,0.7%,,1.2%,2.7%,-3.6%,2.6%,3.0%,,,,,,
2014.1,104.1,86.4,102.1,119.8,95.4,,0.2%,0.0%,0.7%,0.8%,-1.3%,,2.7%,3.1%,-2.2%,4.9%,4.0%,,,,,,
2014.11,105.5,87.8,103.0,120.8,98.0,,1.3%,1.6%,0.9%,0.8%,2.7%,,4.7%,6.3%,0.7%,5.5%,6.8%,,,,,,
2014.12,104.7,84.7,103.3,120.4,97.1,,-0.8%,-3.5%,0.3%,-0.3%,-0.9%,,7.6%,7.5%,4.7%,9.2%,8.4%,,,,,,
2015.01,106.3,85.7,103.0,123.3,99.2,,1.5%,1.2%,-0.3%,2.4%,2.2%,,9.7%,6.2%,6.4%,10.5%,14.7%,,,,,,
2015.02,108.6,84.2,108.7,123.5,104.2,,2.2%,-1.8%,5.5%,0.2%,5.0%,,12.7%,4.1%,12.5%,12.6%,19.1%,,,,,,
2015.03,108.7,82.2,106.8,125.0,105.9,,0.1%,-2.4%,-1.7%,1.2%,1.6%,,11.4%,1.5%,11.5%,11.8%,17.3%,,,,,,
2015.04,109.8,88.8,108.3,125.7,102.9,,1.0%,8.0%,1.4%,0.6%,-2.8%,,12.0%,9.0%,10.3%,12.9%,14.8%,,,,,,
2015.05,110.5,93.4,109.8,124.3,103.0,,0.6%,5.2%,1.4%,-1.1%,0.1%,,9.6%,10.5%,7.5%,9.3%,12.1%,,,,,,
2015.06,109.4,93.7,106.4,123.2,103.2,,-1.0%,0.3%,-3.1%,-0.9%,0.2%,,8.0%,12.4%,4.7%,7.6%,9.8%,,,,,,
2015.07,109.0,94.2,107.1,122.8,100.7,,-0.4%,0.5%,0.7%,-0.3%,-2.4%,,6.8%,10.7%,5.7%,6.0%,6.2%,,,,,,
2015.08,109.2,92.6,107.4,122.9,102.5,,0.2%,-1.7%,0.3%,0.1%,1.8%,,6.2%,9.3%,6.0%,4.9%,6.8%,,,,,,
2015.09,107.8,89.6,107.2,121.0,101.7,,-1.3%,-3.2%,-0.2%,-1.5%,-0.8%,,3.8%,3.7%,5.7%,1.9%,5.2%,,,,,,
2015.10,108.0,93.3,105.7,120.6,102.3,,0.2%,4.1%,-1.4%,-0.3%,0.6%,,3.7%,8.0%,3.5%,0.7%,7.2%,,,,,,
2015.11,108.6,92.2,107.1,122.2,101.7,,0.6%,-1.2%,1.3%,1.3%,-0.6%,,2.9%,5.0%,4.0%,1.2%,3.8%,,,,,,
2015.12,109.7,99.3,108.3,122.3,99.6,,1.0%,7.7%,1.1%,0.1%,-2.1%,,4.8%,17.2%,4.8%,1.6%,2.6%,,,,,,
2016.01,108.7,95.5,107.6,121.4,100.4,,-0.9%,-3.8%,-0.6%,-0.7%,0.8%,,2.3%,11.4%,4.5%,-1.5%,1.2%,,,,,,
2016.02,109.5,94.6,110.8,122.4,99.4,,0.7%,-0.9%,3.0%,0.8%,-1.0%,,0.8%,12.4%,1.9%,-0.9%,-4.6%,,,,,,
2016.03,110.2,97.2,110.2,122.8,100.5,,0.6%,2.7%,-0.5%,0.3%,1.1%,,1.4%,18.2%,3.2%,-1.8%,-5.1%,,,,,,
2016.04,112.9,98.3,110.9,127.3,104.0,,2.5%,1.1%,0.6%,3.7%,3.5%,,2.8%,10.7%,2.4%,1.3%,1.1%,,,,,,
2016.05,110.1,93.0,107.1,125.0,103.4,,-2.5%,-5.4%,-3.4%,-1.8%,-0.6%,,-0.4%,-0.4%,-2.5%,0.6%,0.4%,,,,,,
2016.06,109.3,94.8,107.9,122.4,101.7,,-0.7%,1.9%,0.7%,-2.1%,-1.6%,,-0.1%,1.2%,1.4%,-0.6%,-1.5%,,,,,,
2016.07,109.9,94.8,106.4,123.3,104.5,,0.5%,0.0%,-1.4%,0.7%,2.8%,,0.8%,0.6%,-0.7%,0.4%,3.8%,,,,,,
2016.08,109.9,99.1,106.4,122.0,103.1,,0.0%,4.5%,0.0%,-1.1%,-1.3%,,0.6%,7.0%,-0.9%,-0.7%,0.6%,,,,,,
2016.09,109.9,97.6,105.7,122.8,103.7,,0.0%,-1.5%,-0.7%,0.7%,0.6%,,1.9%,8.9%,-1.4%,1.5%,2.0%,,,,,,
2016.10,109.8,97.1,106.3,122.3,103.7,,-0.1%,-0.5%,0.6%,-0.4%,0.0%,,1.7%,4.1%,0.6%,1.4%,1.4%,,,,,,
2016.11,108.7,97.1,104.9,121.7,101.5,,-1.0%,0.0%,-1.3%,-0.5%,-2.1%,,0.1%,5.3%,-2.1%,-0.4%,-0.2%,,,,,,
2016.12,109.1,97.2,104.6,122.5,101.9,,0.4%,0.1%,-0.3%,0.7%,0.4%,,-0.5%,-2.1%,-3.4%,0.2%,2.3%,,,,,,
2017.01,110.1,98.9,104.5,125.0,101.2,,0.9%,1.7%,-0.1%,2.0%,-0.7%,,1.3%,3.6%,-2.9%,3.0%,0.8%,,,,,,
2017.02,111.9,99.6,110.9,126.2,100.2,,1.6%,0.7%,6.1%,1.0%,-1.0%,,2.2%,5.3%,0.1%,3.1%,0.8%,,,,,,
2017.03,109.1,99.1,106.7,123.9,96.3,,-2.5%,-0.5%,-3.8%,-1.8%,-3.9%,,-1.0%,2.0%,-3.2%,0.9%,-4.2%,,,,,,
2017.04,109.6,98.6,105.8,124.2,99.5,,0.5%,-0.5%,-0.8%,0.2%,3.3%,,-2.9%,0.3%,-4.6%,-2.4%,-4.3%,,,,,,
2017.05,109.1,98.9,104.8,123.9,98.3,,-0.5%,0.3%,-0.9%,-0.2%,-1.2%,,-0.9%,6.3%,-2.1%,-0.9%,-4.9%,,,,,,
2017.06,108.1,96.5,103.3,122.5,99.5,,-0.9%,-2.4%,-1.4%,-1.1%,1.2%,,-1.1%,1.8%,-4.3%,0.1%,-2.2%,,,,,,
2017.07,109.3,96.8,103.6,125.4,99.6,,1.1%,0.3%,0.3%,2.4%,0.1%,,-0.5%,2.1%,-2.6%,1.7%,-4.7%,,,,,,
2017.08,107.3,94.9,102.0,121.2,100.7,,-1.8%,-2.0%,-1.5%,-3.3%,1.1%,,-2.4%,-4.2%,-4.1%,-0.7%,-2.3%,,,,,,
2017.09,105.0,95.2,101.6,115.4,100.0,,-2.1%,0.3%,-0.4%,-4.8%,-0.7%,,-4.5%,-2.5%,-3.9%,-6.0%,-3.6%,,,,,,
2017.10,109.3,95.2,104.0,124.4,102.4,,4.1%,0.0%,2.4%,7.8%,2.4%,,-0.5%,-2.0%,-2.2%,1.7%,-1.3%,,,,,,
2017.11,109.4,95.9,104.2,125.2,100.4,,0.1%,0.7%,0.2%,0.6%,-2.0%,,0.6%,-1.2%,-0.7%,2.9%,-1.1%,,,,,,
2017.12,109.6,93.7,105.1,127.3,98.8,,0.2%,-2.3%,0.9%,1.7%,-1.6%,,0.5%,-3.6%,0.5%,3.9%,-3.0%,,,,,,
2018.01,105.6,86.6,98.5,124.4,98.2,,-3.6%,-7.6%,-6.3%,-2.3%,-0.6%,,-4.1%,-12.4%,-5.7%,-0.5%,-3.0%,,,,,,
2018.02,107.3,94.2,101.1,125.0,96.1,,1.6%,8.8%,2.6%,0.5%,-2.1%,,-4.1%,-5.4%,-8.8%,-1.0%,-4.1%,,,,,,
2018.03,107.5,90.6,100.4,127.9,96.2,,0.2%,-3.8%,-0.7%,2.3%,0.1%,,-1.5%,-8.6%,-5.9%,3.2%,-0.1%,,,,,,
2018.04,107.2,93.7,101.1,126.0,94.6,,-0.3%,3.4%,0.7%,-1.5%,-1.7%,,-2.2%,-5.0%,-4.4%,1.4%,-4.9%,,,,,,
2018.05,107.1,94.5,101.6,124.7,95.1,,-0.1%,0.9%,0.5%,-1.0%,0.5%,,-1.8%,-4.4%,-3.1%,0.6%,-3.3%,,,,,,
2018.06,106.0,93.9,102.2,122.9,93.1,,-1.0%,-0.6%,0.6%,-1.4%,-2.1%,,-1.9%,-2.7%,-1.1%,0.3%,-6.4%,,,,,,
2018.07,105.5,94.1,101.3,122.4,92.3,,-0.5%,0.2%,-0.9%,-0.4%,-0.9%,,-3.5%,-2.8%,-2.2%,-2.4%,-7.3%,,,,,,
2018.08,103.5,92.3,100.6,120.4,88.9,,-1.9%,-1.9%,-0.7%,-1.6%,-3.7%,,-3.5%,-2.7%,-1.4%,-0.7%,-11.7%,,,,,,
2018.09,103.3,90.6,99.5,119.3,92.1,,-0.2%,-1.8%,-1.1%,-0.9%,3.6%,,-1.6%,-4.8%,-2.1%,3.4%,-7.9%,,,,,,
2018.10,101.4,91.3,98.1,118.2,86.6,,-1.8%,0.8%,-1.4%,-0.9%,-6.0%,,-7.2%,-4.1%,-5.7%,-5.0%,-15.4%,,,,,,
2018.11,99.6,91.2,96.2,114.2,86.8,,-1.8%,-0.1%,-1.9%,-3.4%,0.2%,,-9.0%,-4.9%,-7.7%,-8.8%,-13.5%,,,,,,
2018.12,99.9,89.8,98.7,112.8,89.0,,0.3%,-1.5%,2.6%,-1.2%,2.5%,,-8.9%,-4.2%,-6.1%,-11.4%,-9.9%,,,,,,
2019.01,102.3,90.9,97.4,120.0,88.4,,2.4%,1.2%,-1.3%,6.4%,-0.7%,,-3.1%,5.0%,-1.1%,-3.5%,-10.0%,,,,,,
2019.02,101.9,91.3,95.6,121.6,85.9,,-0.4%,0.4%,-1.8%,1.3%,-2.8%,,-5.0%,-3.1%,-5.4%,-2.7%,-10.6%,,,,,,
2019.03,107.7,94.0,98.7,129.8,93.2,,5.7%,3.0%,3.2%,6.7%,8.5%,,0.2%,3.8%,-1.7%,1.5%,-3.1%,,,,,,
2019.04,105.5,91.9,97.7,125.5,93.0,,-2.0%,-2.2%,-1.0%,-3.3%,-0.2%,,-1.6%,-1.9%,-3.4%,-0.4%,-1.7%,,,,,,
2019.05,106.7,94.7,101.2,124.9,93.1,,1.1%,3.0%,3.6%,-0.5%,0.1%,,-0.4%,0.2%,-0.4%,0.2%,-2.1%,,,,,,
2019.06,108.6,95.5,105.4,125.4,95.9,,1.8%,0.8%,4.2%,0.4%,3.0%,,2.5%,1.7%,3.1%,2.0%,3.0%,,,,,,
2019.07,105.1,92.4,99.0,122.5,94.0,,-3.2%,-3.2%,-6.1%,-2.3%,-2.0%,,-0.4%,-1.8%,-2.3%,0.1%,1.8%,,,,,,
2019.08,105.0,90.9,98.3,122.3,96.0,,-0.1%,-1.6%,-0.7%,-0.2%,2.1%,,1.4%,-1.5%,-2.3%,1.6%,8.0%,,,,,,
2019.09,105.9,90.8,100.6,123.9,94.9,,0.9%,-0.1%,2.3%,1.3%,-1.1%,,2.5%,0.2%,1.1%,3.9%,3.0%,,,,,,
2019.10,105.6,93.5,99.4,123.3,94.0,,-0.3%,3.0%,-1.2%,-0.5%,-0.9%,,4.1%,2.4%,1.3%,4.3%,8.5%,,,,,,
2019.11,107.7,93.7,101.7,124.3,99.1,,2.0%,0.2%,2.3%,0.8%,5.4%,,8.1%,2.7%,5.7%,8.8%,14.2%,,,,,,
2019.12,104.6,90.9,100.6,120.8,93.9,,-2.9%,-3.0%,-1.1%,-2.8%,-5.2%,,4.7%,1.2%,1.9%,7.1%,5.5%,,,,,,
2020.01,108.7,92.7,104.2,129.2,93.8,,3.9%,2.0%,3.6%,7.0%,-0.1%,,6.3%,2.0%,7.0%,7.7%,6.1%,,,,,,
2020.02,110.8,96.0,109.1,129.4,95.1,,1.9%,3.6%,4.7%,0.2%,1.4%,,8.7%,5.1%,14.1%,6.4%,10.7%,,,,,,
2020.03,90.3,83.9,86.4,107.3,72.8,,-18.5%,-12.6%,-20.8%,-17.1%,-23.4%,,-16.2%,-10.7%,-12.5%,-17.3%,-21.9%,,,,,,
2020.04,70.0,43.4,72.5,88.7,58.5,,-22.5%,-48.3%,-16.1%,-17.3%,-19.6%,,-33.6%,-52.8%,-25.8%,-29.3%,-37.1%,,,,,,
2020.05,101.4,63.7,99.9,127.7,90.7,,44.9%,46.8%,37.8%,44.0%,55.0%,,-5.0%,-32.7%,-1.3%,2.2%,-2.6%,,,,,,
2020.06,115.0,90.6,111.0,139.0,100.7,,13.4%,42.2%,11.1%,8.8%,11.0%,,5.9%,-5.1%,5.3%,10.8%,5.0%,,,,,,
2020.07,121.0,110.7,114.3,140.3,105.8,,5.2%,22.2%,3.0%,0.9%,5.1%,,15.1%,19.8%,15.5%,14.5%,12.6%,,,,,,
2020.08,130.3,114.3,122.6,151.3,117.8,,7.7%,3.3%,7.3%,7.8%,11.3%,,24.1%,25.7%,24.7%,23.7%,22.7%,,,,,,
2020.09,126.9,114.3,118.2,147.7,113.5,,-2.6%,0.0%,-3.6%,-2.4%,-3.7%,,19.8%,25.9%,17.5%,19.2%,19.6%,,,,,,
2020.10,127.0,110.6,118.5,148.8,114.6,,0.1%,-3.2%,0.3%,0.7%,1.0%,,20.3%,18.3%,19.2%,20.7%,21.9%,,,,,,
2020.11,125.8,108.6,116.6,150.2,110.6,,-0.9%,-1.8%,-1.6%,0.9%,-3.5%,,16.8%,15.9%,14.7%,20.8%,11.6%,,,,,,
2020.12,126.4,109.7,114.2,151.1,113.4,,0.5%,1.0%,-2.1%,0.6%,2.5%,,20.8%,20.7%,13.5%,25.1%,20.8%,,,,,,
